Compiling 2 TensorCircuit layers...
[Epoch 110/500][train LL: -10.23; val LL: -10.58] 
[Epoch 111/500][train LL: -10.21; val LL: -10.57] 
[Epoch 112/500][train LL: -10.19; val LL: -10.55] 
[Epoch 113/500][train LL: -10.17; val LL: -10.54] 
[Epoch 114/500][train LL: -10.15; val LL: -10.53] 
[Epoch 115/500][train LL: -10.13; val LL: -10.51] 
[Epoch 116/500][train LL: -10.11; val LL: -10.50] 
[Epoch 117/500][train LL: -10.09; val LL: -10.48] 
[Epoch 118/500][train LL: -10.08; val LL: -10.47] 
[Epoch 119/500][train LL: -10.06; val LL: -10.46] 
[Epoch 120/500][train LL: -10.04; val LL: -10.45] 
[Epoch 121/500][train LL: -10.02; val LL: -10.43] 
[Epoch 122/500][train LL: -10.01; val LL: -10.42] 
[Epoch 123/500][train LL: -9.99; val LL: -10.41] 
[Epoch 124/500][train LL: -9.97; val LL: -10.40] 
[Epoch 125/500][train LL: -9.96; val LL: -10.38] 
[Epoch 126/500][train LL: -9.94; val LL: -10.37] 
[Epoch 127/500][train LL: -9.92; val LL: -10.36] 
[Epoch 128/500][train LL: -9.91; val LL: -10.35] 
[Epoch 129/500][train LL: -9.89; val LL: -10.34] 
[Epoch 130/500][train LL: -9.88; val LL: -10.33] 
[Epoch 131/500][train LL: -9.86; val LL: -10.32] 
[Epoch 132/500][train LL: -9.84; val LL: -10.31] 
[Epoch 133/500][train LL: -9.83; val LL: -10.30] 
[Epoch 134/500][train LL: -9.81; val LL: -10.29] 
[Epoch 135/500][train LL: -9.80; val LL: -10.28] 
[Epoch 136/500][train LL: -9.78; val LL: -10.27] 
[Epoch 137/500][train LL: -9.77; val LL: -10.26] 
[Epoch 138/500][train LL: -9.75; val LL: -10.25] 
[Epoch 139/500][train LL: -9.74; val LL: -10.24] 
[Epoch 140/500][train LL: -9.72; val LL: -10.23] 
[Epoch 141/500][train LL: -9.71; val LL: -10.22] 
[Epoch 142/500][train LL: -9.70; val LL: -10.21] 
[Epoch 143/500][train LL: -9.68; val LL: -10.20] 
[Epoch 144/500][train LL: -9.67; val LL: -10.19] 
[Epoch 145/500][train LL: -9.66; val LL: -10.18] 
[Epoch 146/500][train LL: -9.64; val LL: -10.17] 
[Epoch 147/500][train LL: -9.63; val LL: -10.16] 
[Epoch 148/500][train LL: -9.61; val LL: -10.15] 
[Epoch 149/500][train LL: -9.60; val LL: -10.15] 
[Epoch 150/500][train LL: -9.59; val LL: -10.14] 
[Epoch 151/500][train LL: -9.58; val LL: -10.13] 
[Epoch 152/500][train LL: -9.56; val LL: -10.12] 
[Epoch 153/500][train LL: -9.55; val LL: -10.11] 
[Epoch 154/500][train LL: -9.54; val LL: -10.11] 
[Epoch 155/500][train LL: -9.53; val LL: -10.10] 
[Epoch 156/500][train LL: -9.51; val LL: -10.09] 
[Epoch 157/500][train LL: -9.50; val LL: -10.08] 
[Epoch 158/500][train LL: -9.49; val LL: -10.08] 
[Epoch 159/500][train LL: -9.48; val LL: -10.07] 
[Epoch 160/500][train LL: -9.47; val LL: -10.06] 
[Epoch 161/500][train LL: -9.45; val LL: -10.06] 
[Epoch 162/500][train LL: -9.44; val LL: -10.05] 
[Epoch 163/500][train LL: -9.43; val LL: -10.04] 
[Epoch 164/500][train LL: -9.42; val LL: -10.04] 
[Epoch 165/500][train LL: -9.41; val LL: -10.03] 
[Epoch 166/500][train LL: -9.40; val LL: -10.02] 
[Epoch 167/500][train LL: -9.39; val LL: -10.02] 
[Epoch 168/500][train LL: -9.37; val LL: -10.01] 
[Epoch 169/500][train LL: -9.36; val LL: -10.00] 
[Epoch 170/500][train LL: -9.35; val LL: -10.00] 
[Epoch 171/500][train LL: -9.34; val LL: -9.99] 
[Epoch 172/500][train LL: -9.33; val LL: -9.99] 
[Epoch 173/500][train LL: -9.32; val LL: -9.98] 
[Epoch 174/500][train LL: -9.31; val LL: -9.98] 
[Epoch 175/500][train LL: -9.30; val LL: -9.97] 
[Epoch 176/500][train LL: -9.29; val LL: -9.96] 
[Epoch 177/500][train LL: -9.28; val LL: -9.96] 
[Epoch 178/500][train LL: -9.27; val LL: -9.95] 
[Epoch 179/500][train LL: -9.26; val LL: -9.95] 
[Epoch 180/500][train LL: -9.25; val LL: -9.94] 
[Epoch 181/500][train LL: -9.24; val LL: -9.94] 
[Epoch 182/500][train LL: -9.23; val LL: -9.93] 
[Epoch 183/500][train LL: -9.22; val LL: -9.93] 
[Epoch 184/500][train LL: -9.21; val LL: -9.93] 
[Epoch 185/500][train LL: -9.20; val LL: -9.92] 
[Epoch 186/500][train LL: -9.20; val LL: -9.92] 
[Epoch 187/500][train LL: -9.19; val LL: -9.91] 
[Epoch 188/500][train LL: -9.18; val LL: -9.91] 
[Epoch 189/500][train LL: -9.17; val LL: -9.90] 
[Epoch 190/500][train LL: -9.16; val LL: -9.90] 
[Epoch 191/500][train LL: -9.15; val LL: -9.89] 
[Epoch 192/500][train LL: -9.14; val LL: -9.89] 
[Epoch 193/500][train LL: -9.13; val LL: -9.89] 
[Epoch 194/500][train LL: -9.12; val LL: -9.88] 
[Epoch 195/500][train LL: -9.12; val LL: -9.88] 
[Epoch 196/500][train LL: -9.11; val LL: -9.88] 
[Epoch 197/500][train LL: -9.10; val LL: -9.87] 
[Epoch 198/500][train LL: -9.09; val LL: -9.87] 
[Epoch 199/500][train LL: -9.08; val LL: -9.86] 
[Epoch 200/500][train LL: -9.07; val LL: -9.86] 
[Epoch 201/500][train LL: -9.07; val LL: -9.86] 
[Epoch 202/500][train LL: -9.06; val LL: -9.86] 
[Epoch 203/500][train LL: -9.05; val LL: -9.85] 
[Epoch 204/500][train LL: -9.04; val LL: -9.85] 
[Epoch 205/500][train LL: -9.04; val LL: -9.85] 
[Epoch 206/500][train LL: -9.03; val LL: -9.84] 
[Epoch 207/500][train LL: -9.02; val LL: -9.84] 
[Epoch 208/500][train LL: -9.01; val LL: -9.84] 
[Epoch 209/500][train LL: -9.00; val LL: -9.83] 
[Epoch 210/500][train LL: -9.00; val LL: -9.83] 
[Epoch 211/500][train LL: -8.99; val LL: -9.83] 
[Epoch 212/500][train LL: -8.98; val LL: -9.83] 
[Epoch 213/500][train LL: -8.98; val LL: -9.82] 
[Epoch 214/500][train LL: -8.97; val LL: -9.82] 
[Epoch 215/500][train LL: -8.96; val LL: -9.82] 
[Epoch 216/500][train LL: -8.95; val LL: -9.82] 
[Epoch 217/500][train LL: -8.95; val LL: -9.81] 
[Epoch 218/500][train LL: -8.94; val LL: -9.81] 
[Epoch 219/500][train LL: -8.93; val LL: -9.81] 
[Epoch 220/500][train LL: -8.93; val LL: -9.81] 
[Epoch 221/500][train LL: -8.92; val LL: -9.81] 
[Epoch 222/500][train LL: -8.91; val LL: -9.80] 
[Epoch 223/500][train LL: -8.91; val LL: -9.80] 
[Epoch 224/500][train LL: -8.90; val LL: -9.80] 
[Epoch 225/500][train LL: -8.89; val LL: -9.80] 
[Epoch 226/500][train LL: -8.89; val LL: -9.80] 
[Epoch 227/500][train LL: -8.88; val LL: -9.80] 
[Epoch 228/500][train LL: -8.87; val LL: -9.79] 
[Epoch 229/500][train LL: -8.87; val LL: -9.79] 
[Epoch 230/500][train LL: -8.86; val LL: -9.79] 
[Epoch 231/500][train LL: -8.85; val LL: -9.79] 
[Epoch 232/500][train LL: -8.85; val LL: -9.79] 
[Epoch 233/500][train LL: -8.84; val LL: -9.79] 
[Epoch 234/500][train LL: -8.84; val LL: -9.79] 
[Epoch 235/500][train LL: -8.83; val LL: -9.79] 
[Epoch 236/500][train LL: -8.82; val LL: -9.78] 
[Epoch 237/500][train LL: -8.82; val LL: -9.78] 
[Epoch 238/500][train LL: -8.81; val LL: -9.78] 
[Epoch 239/500][train LL: -8.81; val LL: -9.78] 
